"id","curso","bloque","criterio","estandar","prioridad"
"1111","1","Bloque 1: Comunicación oral: escuchar y hablar","1. Comprender, interpretar y valorar textos orales sencillos propios de los ámbitos personal, académico/escolar y social.","1.1.    Comprende el sentido global de textos orales sencillos propios de los ámbitos personal, escolar/académico y social, identificando la estructura, el tema, la información relevante y la intención comunicativa del hablante.",
"1112","1","Bloque 1: Comunicación oral: escuchar y hablar","1. Comprender, interpretar y valorar textos orales sencillos propios de los ámbitos personal, académico/escolar y social.","1.2.    Anticipa ideas e infiere datos del emisor y del contenido del texto analizando fuentes de procedencia no verbal.",
"1113","1","Bloque 1: Comunicación oral: escuchar y hablar","1. Comprender, interpretar y valorar textos orales sencillos propios de los ámbitos personal, académico/escolar y social.","1.3. Retiene información relevante y extrae informaciones concretas.",
"1114","1","Bloque 1: Comunicación oral: escuchar y hablar","1. Comprender, interpretar y valorar textos orales sencillos propios de los ámbitos personal, académico/escolar y social.","1.4. Sigue e interpreta instrucciones orales sencillas respetando su jerarquía.",
"1115","1","Bloque 1: Comunicación oral: escuchar y hablar","1. Comprender, interpretar y valorar textos orales sencillos propios de los ámbitos personal, académico/escolar y social.","1.5. Comprende el sentido global de textos sencillos de tipo publicitario, informativo y de opinión procedentes de los medios de comunicación.",
"1116","1","Bloque 1: Comunicación oral: escuchar y hablar","1. Comprender, interpretar y valorar textos orales sencillos propios de los ámbitos personal, académico/escolar y social.","1.6. Identifica la idea principal y las secundarias de textos y los resume, de forma clara, recogiendo las ideas más importantes e integrándolas en oraciones que se relacionen lógica y semánticamente.",
"1121","1","Bloque 1: Comunicación oral: escuchar y hablar","2. Comprender, interpretar y valorar textos orales sencillos de diferente tipo.","2.1. Comprende el sentido global de textos orales sencillos narrativos, descriptivos, instructivos, expositivos, argumentativos y dialogados, identificando la información relevante, determinando el tema y reconociendo la intención comunicativa del hablant",
"1122","1","Bloque 1: Comunicación oral: escuchar y hablar","2. Comprender, interpretar y valorar textos orales sencillos de diferente tipo.","2.2. Anticipa ideas e infiere datos del emisor y del contenido del texto analizando fuentes de procedencia no verbal.",
"1123","1","Bloque 1: Comunicación oral: escuchar y hablar","2. Comprender, interpretar y valorar textos orales sencillos de diferente tipo.","2.3. Retiene información relevante y extrae informaciones concretas.",
"1124","1","Bloque 1: Comunicación oral: escuchar y hablar","2. Comprender, interpretar y valorar textos orales sencillos de diferente tipo.","2.4. Interpreta y valora aspectos concretos del contenido y de la estructura  de textos narrativos, descriptivos, expositivos, argumentativos, instructivos y dialogados emitiendo juicios razonados y relacionándolos con conceptos personales para justificar",
"1125","1","Bloque 1: Comunicación oral: escuchar y hablar","2. Comprender, interpretar y valorar textos orales sencillos de diferente tipo.","2.5. Utiliza progresivamente los instrumentos adecuados para localizar el significado de palabras o enunciados desconocidos (demanda ayuda, busca en diccionarios, recuerda el contexto en el que aparece?).",
"1126","1","Bloque 1: Comunicación oral: escuchar y hablar","2. Comprender, interpretar y valorar textos orales sencillos de diferente tipo.","2.6. Identifica la idea principal y las secundarias de textos narrativos, descriptivos, instructivos, expositivos, argumentativos y dialogados y los resume, de forma clara, recogiendo las ideas más importantes e integrándolas en oraciones que se relacione",
"1131","1","Bloque 1: Comunicación oral: escuchar y hablar","3. Comprender el sentido global de conversaciones espontáneas, coloquios y debates sencillos.","3.1. Escucha, observa y explica el sentido global de conversaciones espontáneas, coloquios y debates sencillos identificando la información relevante, determinando el tema y reconociendo la intención comunicativa y la postura de cada participante, así com",
"1132","1","Bloque 1: Comunicación oral: escuchar y hablar","3. Comprender el sentido global de conversaciones espontáneas, coloquios y debates sencillos.","3.2. Observa y analiza las intervenciones particulares de cada participante en un debate sencillo teniendo en cuenta el tono empleado, el lenguaje que se utiliza, el contenido y el grado de respeto hacia las personas cuando expresan su opinión.",
"1133","1","Bloque 1: Comunicación oral: escuchar y hablar","3. Comprender el sentido global de conversaciones espontáneas, coloquios y debates sencillos.","3.3. Reconoce y asume las reglas de interacción, intervención y cortesía que regulan los debates y cualquier intercambio comunicativo oral.",
"1141","1","Bloque 1: Comunicación oral: escuchar y hablar","4. Valorar la importancia de la conversación en la vida social practicando actos de habla: contando, describiendo, opinando, dialogando?, en situaciones comunicativas propias de la actividad escolar.","4.1. Interviene y valora su participación en actos comunicativos orales propios de la actividad escolar.",
