"id","curso","bloque","criterio","estandar","prioridad"
"2111","2","Bloque 1: Geografía","1. Describir a grandes rasgos el marco geográfico en el que se desarrollan las culturas de Grecia y Roma.","1.1. Describe las zonas por las que se extendieron las civilizaciones de Grecia y Roma y las relaciona con los aspectos históricos más importantes.",
"2121","2","Bloque 1: Geografía","2. Localizar en un mapa lugares geográficos relevantes para el conocimiento de las civilizaciones griega y romana.","2.1. Señala sobre un mapa el marco geográfico en el que se sitúan las civilizaciones griega y romana, delimita el ámbito de influencia de cada una de ellas y ubica con relativa precisión los puntos geográficos, ciudades o restos arqueológicos más conocido",
"2211","2","Bloque 2: Historia","1. Identificar y describir los acontecimientos más importantes en las distintas etapas de la historia de Grecia y Roma.","1.1. Distingue, a grandes rasgos, las diferentes etapas de la historia de Grecia y Roma.",
"2212","2","Bloque 2: Historia","1. Identificar y describir los acontecimientos más importantes en las distintas etapas de la historia de Grecia y Roma.","1.2. Describe los acontecimientos más relevantes de las diferentes etapas e identifica las circunstancias que los originan, los principales actores y sus consecuencias.",
"2213","2","Bloque 2: Historia","1. Identificar y describir los acontecimientos más importantes en las distintas etapas de la historia de Grecia y Roma.","1.3. Sitúa dentro de un eje cronológico el marco histórico en el que se desarrollan las civilizaciones griega y romana y establece relaciones entre acontecimientos importantes de la historia de Grecia y Roma y otros asociados a otras culturas.",
"2311","2","Bloque 3: Mitología","1. Conocer los principales dioses y héroes de la mitología grecolatina.","1.1. Puede nombrar con su denominación griega y latina los principales dioses y héroes de la mitología grecolatina y señala los rasgos que los caracterizan, sus atributos y su ámbito de influencia.",
"2321","2","Bloque 3: Mitología","2. Conocer los principales mitos grecolatinos y establecer semejanzas y diferencias entre los mitos y héroes antiguos y los actuales.","2.1. Conoce los mitos grecolatinos y señala semejanzas y diferencias entre los mitos de la Antigüedad clásica y los pertenecientes a otras culturas, comparando su tratamiento en la literatura o en la tradición religiosa.",
"2322","2","Bloque 3: Mitología","2. Conocer los principales mitos grecolatinos y establecer semejanzas y diferencias entre los mitos y héroes antiguos y los actuales.","2.2. Compara los héroes de la mitología clásica con los actuales, señala las semejanzas y las principales diferencias entre ellos y las asocia con otros rasgos culturales propios de cada época.",
"2323","2","Bloque 3: Mitología","2. Conocer los principales mitos grecolatinos y establecer semejanzas y diferencias entre los mitos y héroes antiguos y los actuales.","2.3. Reconoce referencias mitológicas en las artes plásticas, siempre que sean claras y sencillas y describe, a través del uso que se hace de las mismas, los aspectos básicos asociados a la tradición grecolatina.",
"2411","2","Bloque 4: Arte","1. Conocer las características fundamentales del arte clásico y relacionar manifestaciones artísticas actuales con sus modelos clásicos.","1.1. Reconoce en imágenes las características esenciales de la arquitectura griega y romana identificando razonadamente, mediante elementos visibles, el orden arquitectónico al que pertenecen los monumentos más significativos.",
"2412","2","Bloque 4: Arte","1. Conocer las características fundamentales del arte clásico y relacionar manifestaciones artísticas actuales con sus modelos clásicos.","1.2. Reconoce en imágenes las esculturas griegas y romanas más célebres, las encuadra en su período histórico e identifica en ellas motivos mitológicos, históricos o culturales.",
"2413","2","Bloque 4: Arte","1. Conocer las características fundamentales del arte clásico y relacionar manifestaciones artísticas actuales con sus modelos clásicos.","1.3. Describe las características y explica la función de las principales obras arquitectónicas griegas e ilustra con ejemplos su influencia en modelos posteriores.",
"2421","2","Bloque 4: Arte","2. Conocer algunos de los monumentos clásicos más importantes del patrimonio español.","2.1. Localiza en un mapa y describe los monumentos y edificios clásicos más significativos que forman parte del patrimonio español.",
"2511","2","Bloque 5: Sociedad y vida cotidiana","1. Conocer las principales formas de organización política presentes en el mundo clásico estableciendo semejanzas y diferencias entre ellas.","1.1. Identifica los principales sistemas políticos de la Antigüedad clásica y describe las instituciones existentes, el papel que estas desempeñan y los mecanismos de participación política.",
"2521","2","Bloque 5: Sociedad y vida cotidiana","2. Conocer las características y la evolución de las clases sociales en Grecia y Roma.","2.1. Describe la organización de la sociedad griega y romana, explica las características de las distintas clases sociales y los papeles asignados a cada una de ellas, relaciona estos aspectos con los valores cívicos existentes en la época y los compara c",
"2531","2","Bloque 5: Sociedad y vida cotidiana","3. Conocer la composición de la familia y los papeles asignados a sus miembros. ","3.1. Identifica y explica los diferentes papeles que desempeñan dentro de la familia cada uno de sus miembros comparándolos con los actuales.",
"2541","2","Bloque 5: Sociedad y vida cotidiana","4. Conocer los aspectos más relevantes de la vida cotidiana en Grecia y Roma.","4.1. Explica las características fundamentales de distintos aspectos de la vida cotidiana (calendario, alimentación, indumentaria, educación?) y valora su influencia en nuestro modo de vida actual.",
"2551","2","Bloque 5: Sociedad y vida cotidiana","5. Identificar las principales formas de trabajo y de ocio existentes en la Antigüedad.","5.1. Identifica y describe formas de trabajo; define y explica las principales formas de ocio de las sociedades griega y romana y analiza  su finalidad, los grupos a los que van dirigidas y su función en el desarrollo de la identidad social.",
"2552","2","Bloque 5: Sociedad y vida cotidiana","5. Identificar las principales formas de trabajo y de ocio existentes en la Antigüedad.","5.2. Explica el origen y la naturaleza de los Juegos Olímpicos, los compara y destaca su importancia con respecto a otras festividades de este tipo existentes en la época.",
"2611","2","Bloque 6: Lengua/Léxico","1. Conocer la existencia de diversos tipos de escritura y distinguirlos entre sí.","1.1. Reconoce diferentes tipos de escritura, los clasifica conforme a su naturaleza y explica alguno de los rasgos que los distinguen.",
"2621","2","Bloque 6: Lengua/Léxico","2. Conocer las características básicas de los alfabetos y su importancia.","2.1. Nombra y describe los rasgos principales de los alfabetos y valora su importancia. ",
"2631","2","Bloque 6: Lengua/Léxico","3. Conocer el origen común de diferentes lenguas. ","3.1. Enumera y localiza en un mapa las principales ramas de la familia de las lenguas indoeuropeas. ",
"2641","2","Bloque 6: Lengua/Léxico","4. Comprender el origen común de las lenguas romances.","4.1. Describe la evolución de las lenguas romances a partir del latín como un proceso histórico y explica e ilustra con ejemplos los elementos que evidencian de manera más visible su origen común y el parentesco existente entre ellas. ",
"2651","2","Bloque 6: Lengua/Léxico","5. Identificar las lenguas romances y no romances de la Península Ibérica y localizarlas en un mapa.","5.1. Identifica las lenguas que se hablan en España, diferencia por su origen entre romances y no romances y delimita en un mapa las zonas en las que se utilizan. ",
"2661","2","Bloque 6: Lengua/Léxico","6. Identificar léxico común, técnico y científico de origen grecolatino en la propia lengua y señalar su relación con las palabras latinas o griegas originarias.","6.1. Reconoce y explica, a partir del término de origen, el significado de algunos de los helenismos y latinismos más frecuentes utilizados en el léxico de las lenguas habladas en España.",
"2662","2","Bloque 6: Lengua/Léxico","6. Identificar léxico común, técnico y científico de origen grecolatino en la propia lengua y señalar su relación con las palabras latinas o griegas originarias.","6.2. Puede definir algunos términos científico-técnicos de origen grecolatino a partir del significado de las palabras latinas o griegas de las que proceden.",
"2711","2","Bloque 7: Pervivencia en la actualidad","1. Reconocer la presencia de la civilización clásica en las artes y en la organización social y política.","1.1. Señala y describe algunos aspectos básicos de la cultura y la civilización grecolatina que han pervivido hasta la actualidad y demuestra su vigencia en ambas épocas mediante ejemplos.",
"2721","2","Bloque 7: Pervivencia en la actualidad","2. Conocer la pervivencia de la mitología y los temas legendarios en las manifestaciones artísticas actuales.","2.1. Demuestra la pervivencia de la mitología y los temas legendarios mediante ejemplos de manifestaciones artísticas en las que están presentes estos motivos.",
"2731","2","Bloque 7: Pervivencia en la actualidad","3. Reconocer las huellas de la cultura grecorromana en la forma de vida y tradiciones actuales.","3.1. Enumera y explica algunos ejemplos concretos en los que se pone de manifiesto la influencia que el mundo clásico ha tenido en las formas de vida y en las tradiciones de nuestro país.",
