0,curso,bloque,criterio,estandar,prior
1111,1,Bloque 1.El proceso creativo en tecnología,"1.Identificar las etapas necesarias par la creación de un producto tecnológico desde su origen hasta su comercialización describiendo cada una de ellas, investigando su influencia en la sociedad y proponiendo mejoras tanto desde el punto de vista de su utilidad como de su posible impacto social.",1.1.Describe las etapas del proceso de resolución técnica de problemas para dar solución a un problema técnico.,
1111,1,Bloque 1.El proceso creativo en tecnología,1. Proponer	ideas	creativas	que solucionen problemas técnicos planteados,1.1. Aporta ideas creativas y adecuadas desde un punto de vista técnico para solucionar problemas tecnológicos.,
1121,1,Bloque 1.El proceso creativo en tecnología,"2. Analizar objetos técnicos de uso habitual desde un punto de vista formal, funcional, estético, económico y medioambiental.",2.1. Analiza objetos y elabora un documento estructurado y con formato interpretando adecuadamente los diferentes tipos de análisis.,
1122,1,Bloque 1.El proceso creativo en tecnología,"2. Analizar objetos técnicos de uso habitual desde un punto de vista formal, funcional, estético, económico y medioambiental.",2.2. Extrae ideas del análisis de objetos que pueda utilizar de forma creativa como solución a otros problemas similares que se planteen.,
1211,1,Bloque 2. Diseño y construcción de prototipos. El proceso tecnológico,1. Detectar necesidades y problemas humanos que puedan resolverse mediante el diseño y construcción de objetos y,1.1. Descubre necesidades y problemas que puedan resolverse mediante la aplicación de la tecnología y analiza técnicamente las soluciones adoptadas.,
1221,1,Bloque 2. Diseño y construcción de prototipos. El proceso tecnológico,2. Realizar diseños proporcionados de objetos y prototipos utilizando diferentes recursos gráficos.,2.1. Comunica ideas mediante el diseño de prototipos para resolver problemas determinados.,
1222,1,Bloque 2. Diseño y construcción de prototipos. El proceso tecnológico,2. Realizar diseños proporcionados de objetos y prototipos utilizando diferentes recursos gráficos.,"2.2. Elabora diseños de prototipos con criterios técnicos y creativos, diferenciando las partes que lo componen",
1231,1,Bloque 2. Diseño y construcción de prototipos. El proceso tecnológico,"3. Utilizar de forma técnicamente correcta y respetando las normas de seguridad y salud: los materiales, las herramientas y las máquinas necesarias para la construcción de prototipos de objetos y sistemas que resuelvan problemas y necesidades humanas y evaluar su funcionamiento.","3.1. Utiliza, siguiendo criterios técnicos y de seguridad, máquinas y herramientas en la construcción de objetos.",
1232,1,Bloque 2. Diseño y construcción de prototipos. El proceso tecnológico,"3. Utilizar de forma técnicamente correcta y respetando las normas de seguridad y salud: los materiales, las herramientas y las máquinas necesarias para la construcción de prototipos de objetos y sistemas que resuelvan problemas y necesidades humanas y evaluar su funcionamiento.","3.2. Ejecuta correctamente diferentes técnicas de corte, acabado y unión de piezas y elementos en la construcción de prototipos",
1233,1,Bloque 2. Diseño y construcción de prototipos. El proceso tecnológico,"3. Utilizar de forma técnicamente correcta y respetando las normas de seguridad y salud: los materiales, las herramientas y las máquinas necesarias para la construcción de prototipos de objetos y sistemas que resuelvan problemas y necesidades humanas y evaluar su funcionamiento.",3.3 Asume responsablemente las tareas que se le encarguen en el grupo de trabajo en el proceso de construcción del prototipo.,
