0,curso,bloque,criterio,estandar,prior
2111,2,Bloque 1.Proceso de resolución de problemas tecnológicos,"1.Identificar las etapas necesarias par la creación de un producto tecnológico desde su origen hasta su comercialización describiendo cada una de ellas, investigando su influencia en la sociedad y proponiendo mejoras tanto desde el punto de vista de su utilidad como de su posible impacto social.",1.1.Describe las etapas del proceso de resolución técnica de problemas para dar solución a un problema técnico.,
2112,2,Bloque 1.Proceso de resolución de problemas tecnológicos,"1.Identificar las etapas necesarias par la creación de un producto tecnológico desde su origen hasta su comercialización describiendo cada una de ellas, investigando su influencia en la sociedad y proponiendo mejoras tanto desde el punto de vista de su utilidad como de su posible impacto social.","1.2.Busca información en internet y otros medios, de forma crítica y selectiva, para encontrar soluciones a problemas técnicos sencillos.",
2113,2,Bloque 1.Proceso de resolución de problemas tecnológicos,"1.Identificar las etapas necesarias par la creación de un producto tecnológico desde su origen hasta su comercialización describiendo cada una de ellas, investigando su influencia en la sociedad y proponiendo mejoras tanto desde el punto de vista de su utilidad como de su posible impacto social.","1.3. Diseña un prototipo que dé solución a un problema técnico, mediante el proceso de resolución de problemas tecnológicos.",
2114,2,Bloque 1.Proceso de resolución de problemas tecnológicos,"1.Identificar las etapas necesarias par la creación de un producto tecnológico desde su origen hasta su comercialización describiendo cada una de ellas, investigando su influencia en la sociedad y proponiendo mejoras tanto desde el punto de vista de su utilidad como de su posible impacto social.",1.4. Valora la influencia en la sociedad de la actividad tecnológica describiendo el impacto social de ésta.,
2121,2,Bloque 1.Proceso de resolución de problemas tecnológicos,"2. Realizar las operaciones técnicas previstas en un plan de trabajo utilizando los recursos materiales y organizativos con criterios de economía, seguridad y respeto al medio ambiente y valorando las condiciones del entorno de trabajo.",2.1. Elabora un plan de trabajo secuenciado en el taller con especial atención a las normas de seguridad y salud.,
2122,2,Bloque 1.Proceso de resolución de problemas tecnológicos,"2. Realizar las operaciones técnicas previstas en un plan de trabajo utilizando los recursos materiales y organizativos con criterios de economía, seguridad y respeto al medio ambiente y valorando las condiciones del entorno de trabajo.","2.2. Realiza las operaciones técnicas previstas en un plan de trabajo, respetando las normas de seguridad y salud en el trabajo y aplicando criterios de economía.",
2123,2,Bloque 1.Proceso de resolución de problemas tecnológicos,"2. Realizar las operaciones técnicas previstas en un plan de trabajo utilizando los recursos materiales y organizativos con criterios de economía, seguridad y respeto al medio ambiente y valorando las condiciones del entorno de trabajo.",2.3. Reconoce las consecuencias medioambientales de la actividad tecnológica y actúa responsablemente para reducir su impacto.,
2124,2,Bloque 1.Proceso de resolución de problemas tecnológicos,"2. Realizar las operaciones técnicas previstas en un plan de trabajo utilizando los recursos materiales y organizativos con criterios de economía, seguridad y respeto al medio ambiente y valorando las condiciones del entorno de trabajo.","2.4. Colabora y participa activamente en el trabajo en grupo para la resolución de problemas tecnológicos, respetando las ideas y opiniones de los demás miembros.",
2211,2,Bloque 2. Expresión y comunicación técnica,1. Interpretar croquis y bocetos como elementos de información de productos tecnológicos.,"1.1. Dibuja bocetos y croquis de objetos y sistemas técnicos con limpieza y orden, siguiendo la normalización básica en dibujo técnico.",
2212,2,Bloque 2. Expresión y comunicación técnica,1. Interpretar croquis y bocetos como elementos de información de productos tecnológicos.,1.2. Utiliza croquis y bocetos como elementos de información de productos tecnológicos.,
2221,2,Bloque 2. Expresión y comunicación técnica,2. Representar objetos mediante vistas y perspectivas aplicando criterios de normalización y escalas.,"2.1. Representa vistas de objetos (planta, alzada y perfil) empleando criterios normalizados con claridad y limpieza.",
2222,2,Bloque 2. Expresión y comunicación técnica,2. Representar objetos mediante vistas y perspectivas aplicando criterios de normalización y escalas.,2.2. Dibuja a mano alzada y de forma proporcionada objetos y sistemas técnicos en perspectiva.,
2223,2,Bloque 2. Expresión y comunicación técnica,2. Representar objetos mediante vistas y perspectivas aplicando criterios de normalización y escalas.,2.3. Utiliza medios informáticos para la representación de objetos y sistemas técnicos.,
2231,2,Bloque 2. Expresión y comunicación técnica,3. Explicar mediante documentación técnica las distintas fases de un producto desde su diseño hasta su comercialización.,3.1. Integra los documentos necesarios en la memoria técnica de un proyecto empleando cuando sea necesario software específico de apoyo.,
2232,2,Bloque 2. Expresión y comunicación técnica,3. Explicar mediante documentación técnica las distintas fases de un producto desde su diseño hasta su comercialización.,"3.2. Expone, con apoyo de material escrito y gráfico, el proceso de resolución técnica de problemas relacionado con la construcción de un proyecto técnico concreto.",
2233,2,Bloque 2. Expresión y comunicación técnica,3. Explicar mediante documentación técnica las distintas fases de un producto desde su diseño hasta su comercialización.,"3.3. Presenta documentación técnica con claridad, orden y limpieza.",
